北京市    110000    010
东城区    110101    010
西城区    110102    010
朝阳区    110105    010
丰台区    110106    010
石景山区    110107    010
海淀区    110108    010
门头沟区    110109    010
房山区    110111    010
通州区    110112    010
顺义区    110113    010
昌平区    110114    010
大兴区    110115    010
怀柔区    110116    010
平谷区    110117    010
密云区    110118    010
延庆区    110119    010
天津市    120000    022
和平区    120101    022
河东区    120102    022
河西区    120103    022
南开区    120104    022
河北区    120105    022
红桥区    120106    022
东丽区    120110    022
西青区    120111    022
津南区    120112    022
北辰区    120113    022
武清区    120114    022
宝坻区    120115    022
滨海新区    120116    022
宁河区    120117    022
静海区    120118    022
蓟州区    120119    022
河北省    130000
石家庄市    130100    0311
长安区    130102    0311
桥西区    130104    0311
新华区    130105    0311
井陉矿区    130107    0311
裕华区    130108    0311
藁城区    130109    0311
鹿泉区    130110    0311
栾城区    130111    0311
井陉县    130121    0311
正定县    130123    0311
行唐县    130125    0311
灵寿县    130126    0311
高邑县    130127    0311
深泽县    130128    0311
赞皇县    130129    0311
无极县    130130    0311
平山县    130131    0311
元氏县    130132    0311
赵县    130133    0311
辛集市    130181    0311
晋州市    130183    0311
新乐市    130184    0311
唐山市    130200    0315
路南区    130202    0315
路北区    130203    0315
古冶区    130204    0315
开平区    130205    0315
丰南区    130207    0315
丰润区    130208    0315
曹妃甸区    130209    0315
滦南县    130224    0315
乐亭县    130225    0315
迁西县    130227    0315
玉田县    130229    0315
遵化市    130281    0315
迁安市    130283    0315
滦州市    130284    0315
秦皇岛市    130300    0335
海港区    130302    0335
山海关区    130303    0335
北戴河区    130304    0335
抚宁区    130306    0335
青龙满族自治县    130321    0335
昌黎县    130322    0335
卢龙县    130324    0335
邯郸市    130400    0310
邯山区    130402    0310
丛台区    130403    0310
复兴区    130404    0310
峰峰矿区    130406    0310
肥乡区    130407    0310
永年区    130408    0310
临漳县    130423    0310
成安县    130424    0310
大名县    130425    0310
涉县    130426    0310
磁县    130427    0310
邱县    130430    0310
鸡泽县    130431    0310
广平县    130432    0310
馆陶县    130433    0310
魏县    130434    0310
曲周县    130435    0310
武安市    130481    0310
邢台市    130500    0319
襄都区    130502    0319
信都区    130503    0319
任泽区    130505    0319
南和区    130506    0319
临城县    130522    0319
内丘县    130523    0319
柏乡县    130524    0319
隆尧县    130525    0319
宁晋县    130528    0319
巨鹿县    130529    0319
新河县    130530    0319
广宗县    130531    0319
平乡县    130532    0319
威县    130533    0319
清河县    130534    0319
临西县    130535    0319
南宫市    130581    0319
沙河市    130582    0319
保定市    130600    0312
竞秀区    130602    0312
莲池区    130606    0312
满城区    130607    0312
清苑区    130608    0312
徐水区    130609    0312
涞水县    130623    0312
阜平县    130624    0312
定兴县    130626    0312
唐县    130627    0312
高阳县    130628    0312
容城县    130629    0312
涞源县    130630    0312
望都县    130631    0312
